CustomerReviewsImportance;ReviewLeft;ReviewReliability;ReviewHelpfulness
1;Yes;Occasionally;Yes
1;No;Heavily;Yes
2;No;Occasionally;No
5;Yes;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Sometimes
1;No;Moderately;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;Yes;Heavily;Yes
1;No;Heavily;Sometimes
1;Yes;Moderately;Yes
1;Yes;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Moderately;Yes
1;No;Heavily;Yes
3;No;Occasionally;Yes
1;No;Heavily;Yes
1;No;Never;Sometimes
2;No;Moderately;Yes
1;Yes;Heavily;Yes
1;Yes;Moderately;No
1;No;Heavily;Yes
4;No;Occasionally;Sometimes
1;No;Heavily;Yes
4;No;Occasionally;Yes
5;Yes;Heavily;Yes
5;No;Heavily;Yes
3;No;Occasionally;Sometimes
1;Yes;Heavily;Yes
1;Yes;Heavily;Yes
1;Yes;Heavily;Yes
4;No;Occasionally;Sometimes
1;No;Moderately;Yes
1;No;Moderately;Yes
5;Yes;Rarely;Yes
1;Yes;Moderately;Yes
1;No;Moderately;Yes
2;Yes;Moderately;Yes
1;No;Moderately;Sometimes
1;Yes;Moderately;No
1;Yes;Heavily;Yes
5;No;Heavily;Yes
3;No;Occasionally;Sometimes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
4;Yes;Heavily;Yes
1;No;Heavily;Yes
1;Yes;Heavily;Yes
1;No;Moderately;Yes
1;Yes;Heavily;Yes
1;Yes;Moderately;Yes
4;Yes;Heavily;Yes
1;Yes;Heavily;Yes
5;No;Moderately;Sometimes
4;Yes;Moderately;Sometimes
4;Yes;Rarely;Sometimes
1;Yes;Heavily;Yes
1;No;Heavily;Yes
3;No;Occasionally;Sometimes
4;Yes;Occasionally;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;Yes;Occasionally;Yes
1;No;Moderately;Sometimes
1;Yes;Moderately;Yes
5;Yes;Heavily;No
1;Yes;Moderately;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
4;Yes;Moderately;Yes
2;No;Moderately;Yes
2;No;Never;Sometimes
4;Yes;Heavily;Yes
5;No;Never;No
3;No;Moderately;Yes
5;Yes;Occasionally;Sometimes
5;Yes;Occasionally;Sometimes
1;No;Occasionally;Yes
4;No;Moderately;Sometimes
5;Yes;Heavily;Yes
3;Yes;Occasionally;No
1;No;Occasionally;Sometimes
1;No;Moderately;Sometimes
3;Yes;Rarely;Yes
2;Yes;Moderately;Yes
3;No;Never;Sometimes
4;No;Never;No
3;No;Occasionally;No
2;Yes;Occasionally;Sometimes
4;Yes;Rarely;No
3;Yes;Heavily;Yes
1;No;Heavily;Yes
5;No;Never;Sometimes
4;Yes;Never;Sometimes
5;No;Occasionally;Sometimes
1;No;Heavily;Yes
5;No;Heavily;Yes
1;Yes;Heavily;Yes
1;Yes;Heavily;Yes
5;No;Moderately;Yes
1;Yes;Moderately;No
1;Yes;Moderately;Yes
1;No;Moderately;Yes
1;Yes;Moderately;Yes
5;Yes;Moderately;Yes
4;No;Occasionally;Sometimes
4;No;Moderately;Yes
2;Yes;Moderately;Yes
3;Yes;Moderately;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;Yes;Moderately;No
3;No;Moderately;Sometimes
2;No;Moderately;Yes
3;Yes;Moderately;Yes
2;Yes;Moderately;Sometimes
1;No;Heavily;Yes
3;No;Moderately;No
3;Yes;Heavily;Sometimes
2;Yes;Occasionally;No
2;Yes;Heavily;No
1;No;Heavily;Yes
3;Yes;Occasionally;No
1;Yes;Occasionally;No
3;No;Never;No
1;No;Heavily;Yes
4;Yes;Occasionally;No
2;No;Occasionally;No
1;Yes;Heavily;Yes
3;Yes;Moderately;Yes
5;No;Never;Sometimes
1;No;Heavily;Yes
1;Yes;Heavily;Yes
3;No;Occasionally;No
1;Yes;Heavily;Yes
2;No;Moderately;No
1;Yes;Heavily;Yes
2;No;Heavily;Sometimes
2;No;Moderately;No
1;Yes;Heavily;Yes
3;Yes;Moderately;No
3;No;Moderately;Yes
1;Yes;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Sometimes
1;Yes;Heavily;Yes
1;Yes;Occasionally;Yes
5;No;Rarely;Yes
2;No;Moderately;No
4;No;Occasionally;Yes
2;No;Occasionally;No
5;No;Occasionally;No
3;No;Heavily;No
2;No;Occasionally;No
3;No;Occasionally;No
3;No;Heavily;No
2;No;Occasionally;No
3;No;Rarely;No
3;No;Occasionally;No
1;No;Occasionally;Sometimes
3;No;Occasionally;No
4;Yes;Moderately;No
3;Yes;Moderately;No
1;Yes;Heavily;Yes
1;No;Heavily;Yes
3;Yes;Occasionally;No
2;No;Occasionally;Yes
3;Yes;Moderately;No
2;No;Heavily;No
2;Yes;Heavily;No
1;Yes;Moderately;Yes
1;Yes;Heavily;Yes
1;Yes;Heavily;Yes
5;Yes;Heavily;Yes
3;Yes;Moderately;Sometimes
3;No;Occasionally;Yes
3;No;Occasionally;Sometimes
2;Yes;Heavily;No
1;Yes;Heavily;Yes
1;No;Moderately;Yes
1;No;Heavily;Yes
4;No;Moderately;Yes
1;No;Heavily;Sometimes
1;Yes;Heavily;Yes
3;No;Moderately;Yes
5;Yes;Occasionally;No
2;Yes;Occasionally;No
3;Yes;Occasionally;Yes
3;Yes;Occasionally;Yes
3;Yes;Occasionally;Yes
3;No;Moderately;Yes
3;Yes;Heavily;Yes
3;Yes;Occasionally;No
3;Yes;Moderately;Sometimes
1;No;Heavily;Yes
3;No;Occasionally;Yes
5;Yes;Rarely;Sometimes
4;No;Never;Sometimes
3;No;Moderately;Yes
1;Yes;Rarely;Yes
2;Yes;Moderately;Sometimes
1;Yes;Heavily;Yes
3;No;Rarely;Yes
5;Yes;Moderately;Yes
1;No;Heavily;Yes
1;Yes;Moderately;Yes
4;Yes;Moderately;Sometimes
5;No;Moderately;Yes
2;No;Rarely;No
1;Yes;Occasionally;Yes
5;No;Occasionally;Yes
1;No;Heavily;Yes
1;No;Occasionally;Sometimes
4;Yes;Rarely;Sometimes
1;Yes;Heavily;Yes
5;Yes;Occasionally;Yes
1;No;Moderately;Yes
1;No;Heavily;Yes
4;No;Occasionally;Yes
2;No;Moderately;Yes
3;Yes;Moderately;Sometimes
1;No;Occasionally;Yes
2;No;Heavily;Sometimes
1;Yes;Moderately;Yes
4;No;Heavily;Yes
1;Yes;Moderately;Yes
1;Yes;Moderately;Yes
1;Yes;Heavily;Yes
1;No;Moderately;Yes
1;No;Occasionally;Yes
1;No;Heavily;Sometimes
2;Yes;Moderately;Yes
4;No;Heavily;Yes
5;Yes;Heavily;Yes
1;Yes;Heavily;Yes
3;Yes;Occasionally;No
3;No;Rarely;Sometimes
3;Yes;Occasionally;No
2;No;Occasionally;Sometimes
4;Yes;Moderately;No
3;No;Moderately;No
2;Yes;Occasionally;No
3;No;Occasionally;No
3;No;Occasionally;Sometimes
3;Yes;Occasionally;No
2;No;Rarely;Sometimes
3;Yes;Occasionally;Sometimes
1;No;Heavily;Yes
1;Yes;Heavily;Yes
4;No;Moderately;No
2;No;Moderately;Yes
3;Yes;Moderately;No
4;Yes;Occasionally;No
2;Yes;Occasionally;No
2;Yes;Rarely;No
3;No;Moderately;No
3;Yes;Occasionally;Yes
2;Yes;Rarely;No
1;Yes;Heavily;Yes
2;Yes;Moderately;Yes
5;No;Heavily;Yes
3;Yes;Moderately;No
3;Yes;Occasionally;No
3;No;Rarely;Sometimes
4;Yes;Moderately;Sometimes
3;No;Occasionally;No
2;Yes;Moderately;No
3;Yes;Rarely;Sometimes
2;Yes;Moderately;No
2;No;Occasionally;No
2;Yes;Occasionally;No
3;No;Never;Sometimes
2;No;Occasionally;No
5;Yes;Never;Yes
2;No;Moderately;No
3;Yes;Occasionally;No
3;No;Moderately;No
1;Yes;Heavily;Yes
4;No;Occasionally;No
3;No;Occasionally;No
3;No;Occasionally;Sometimes
4;No;Moderately;No
3;Yes;Occasionally;Yes
3;No;Occasionally;Sometimes
3;No;Occasionally;Sometimes
3;Yes;Occasionally;No
3;Yes;Occasionally;No
3;No;Moderately;Sometimes
3;Yes;Heavily;Yes
3;Yes;Occasionally;Sometimes
3;No;Occasionally;Sometimes
2;Yes;Moderately;Yes
3;No;Occasionally;Yes
2;No;Moderately;No
1;No;Heavily;Yes
5;No;Never;Sometimes
4;No;Rarely;No
2;Yes;Heavily;No
1;Yes;Heavily;Sometimes
1;Yes;Moderately;Yes
3;No;Occasionally;No
3;No;Moderately;No
1;No;Moderately;Yes
3;No;Never;Sometimes
4;No;Heavily;No
1;No;Moderately;Sometimes
1;No;Heavily;No
2;Yes;Heavily;Sometimes
3;No;Heavily;Sometimes
1;Yes;Heavily;Yes
5;No;Occasionally;Yes
3;Yes;Moderately;Yes
1;Yes;Heavily;Yes
1;No;Never;Sometimes
1;Yes;Heavily;Yes
4;Yes;Heavily;Yes
2;Yes;Heavily;Yes
1;Yes;Moderately;Yes
1;Yes;Heavily;Sometimes
3;No;Moderately;No
3;No;Moderately;No
1;Yes;Heavily;Yes
2;No;Moderately;Sometimes
3;No;Occasionally;Sometimes
3;No;Occasionally;No
1;Yes;Moderately;Yes
3;No;Moderately;Sometimes
1;Yes;Heavily;Sometimes
4;No;Moderately;Sometimes
3;Yes;Occasionally;Sometimes
3;No;Moderately;No
1;Yes;Heavily;Yes
1;Yes;Moderately;Yes
1;Yes;Heavily;Yes
4;No;Rarely;No
3;No;Rarely;Sometimes
1;No;Moderately;Sometimes
2;No;Occasionally;Sometimes
3;No;Moderately;Yes
1;No;Heavily;Yes
3;No;Moderately;Yes
3;No;Occasionally;No
3;Yes;Heavily;Yes
2;No;Moderately;Sometimes
2;Yes;Occasionally;Yes
3;No;Moderately;Sometimes
3;Yes;Occasionally;Sometimes
1;Yes;Heavily;Yes
1;Yes;Heavily;No
3;Yes;Rarely;Sometimes
3;No;Moderately;Sometimes
1;Yes;Moderately;Yes
2;Yes;Moderately;Yes
5;Yes;Rarely;Sometimes
2;No;Occasionally;Sometimes
3;Yes;Moderately;No
4;No;Occasionally;Sometimes
3;Yes;Occasionally;No
3;No;Occasionally;Sometimes
3;No;Moderately;Sometimes
3;No;Occasionally;No
1;Yes;Moderately;Sometimes
3;No;Occasionally;No
4;No;Rarely;Sometimes
5;No;Rarely;Sometimes
3;Yes;Moderately;No
2;No;Moderately;Sometimes
2;No;Moderately;Sometimes
2;No;Moderately;Sometimes
2;No;Moderately;No
3;No;Moderately;No
1;No;Heavily;Yes
3;Yes;Moderately;No
2;No;Moderately;Sometimes
3;No;Occasionally;Sometimes
1;No;Moderately;No
3;No;Occasionally;No
1;No;Heavily;Yes
2;No;Occasionally;No
3;Yes;Rarely;Sometimes
3;Yes;Moderately;Yes
1;Yes;Heavily;Yes
2;No;Moderately;Sometimes
1;No;Occasionally;No
1;No;Heavily;Sometimes
2;No;Moderately;Sometimes
3;No;Occasionally;No
1;No;Heavily;Yes
2;No;Occasionally;Sometimes
2;Yes;Occasionally;No
1;Yes;Moderately;Yes
4;No;Occasionally;Sometimes
4;Yes;Occasionally;Sometimes
2;Yes;Moderately;Sometimes
1;Yes;Heavily;Yes
2;No;Moderately;Yes
2;No;Moderately;Yes
3;Yes;Moderately;Sometimes
2;No;Moderately;Yes
3;No;Occasionally;No
2;No;Occasionally;No
3;Yes;Occasionally;No
3;No;Moderately;Yes
3;No;Never;Sometimes
1;No;Moderately;Yes
1;Yes;Heavily;Yes
3;No;Never;Sometimes
3;Yes;Occasionally;Sometimes
2;Yes;Moderately;Sometimes
3;Yes;Moderately;No
4;Yes;Occasionally;Sometimes
3;Yes;Occasionally;No
3;No;Occasionally;Yes
2;Yes;Occasionally;No
4;Yes;Heavily;Yes
3;Yes;Moderately;Yes
3;Yes;Occasionally;Yes
2;No;Occasionally;No
3;Yes;Moderately;Yes
2;Yes;Moderately;Yes
2;Yes;Moderately;Sometimes
3;Yes;Rarely;Sometimes
3;No;Occasionally;Sometimes
3;No;Moderately;Sometimes
2;Yes;Moderately;No
2;No;Occasionally;Sometimes
2;No;Rarely;Sometimes
2;No;Occasionally;Yes
3;No;Occasionally;Sometimes
4;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
4;No;Moderately;Sometimes
2;Yes;Occasionally;No
2;No;Occasionally;No
3;Yes;Rarely;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
4;Yes;Occasionally;Sometimes
3;No;Rarely;Sometimes
3;Yes;Moderately;Yes
2;No;Occasionally;Yes
3;No;Occasionally;Sometimes
3;Yes;Heavily;Sometimes
2;No;Occasionally;Sometimes
1;Yes;Moderately;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Rarely;Sometimes
2;Yes;Moderately;Sometimes
2;No;Occasionally;Sometimes
3;No;Occasionally;Sometimes
2;Yes;Occasionally;Sometimes
3;Yes;Moderately;Sometimes
2;Yes;Moderately;Sometimes
2;Yes;Moderately;Sometimes
2;Yes;Moderately;No
3;No;Moderately;Yes
2;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Yes
3;No;Occasionally;Sometimes
3;No;Moderately;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Heavily;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Occasionally;Yes
3;Yes;Moderately;No
3;Yes;Moderately;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Moderately;Yes
3;No;Rarely;Yes
2;Yes;Occasionally;Sometimes
2;Yes;Moderately;No
1;Yes;Moderately;No
2;Yes;Moderately;Sometimes
3;Yes;Heavily;Sometimes
2;Yes;Heavily;No
2;Yes;Heavily;Sometimes
3;Yes;Rarely;Sometimes
3;Yes;Moderately;Sometimes
4;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Never;Sometimes
3;Yes;Moderately;Sometimes
1;Yes;Heavily;Yes
3;Yes;Occasionally;Sometimes
3;No;Heavily;Sometimes
1;No;Heavily;Yes
1;Yes;Moderately;Yes
1;Yes;Occasionally;Yes
1;No;Rarely;Yes
4;Yes;Rarely;Sometimes
3;No;Moderately;Yes
3;Yes;Moderately;Sometimes
2;Yes;Heavily;Yes
2;Yes;Occasionally;Sometimes
1;Yes;Heavily;No
1;No;Moderately;Sometimes
4;Yes;Occasionally;No
2;No;Rarely;No
4;No;Occasionally;No
3;No;Heavily;Sometimes
4;No;Occasionally;Sometimes
3;Yes;Moderately;Sometimes
2;No;Occasionally;Sometimes
1;Yes;Moderately;Sometimes
3;No;Rarely;Sometimes
4;No;Heavily;Sometimes
4;No;Never;No
5;No;Never;No
5;No;Never;No
5;No;Rarely;No
3;No;Occasionally;No
4;No;Occasionally;Sometimes
2;Yes;Moderately;Sometimes
3;No;Rarely;Sometimes
2;Yes;Occasionally;Yes
3;No;Moderately;Sometimes
4;Yes;Moderately;No
3;No;Occasionally;Sometimes
4;Yes;Occasionally;Sometimes
1;No;Occasionally;No
2;No;Rarely;No
3;No;Occasionally;Yes
3;No;Occasionally;No
3;No;Moderately;Sometimes
2;Yes;Moderately;Yes
3;No;Moderately;No
3;No;Never;Sometimes
3;No;Moderately;Sometimes
1;No;Occasionally;Yes
5;Yes;Moderately;Yes
2;Yes;Moderately;No
3;No;Occasionally;Sometimes
2;Yes;Rarely;Sometimes
1;Yes;Occasionally;Yes
3;No;Occasionally;Sometimes
2;No;Occasionally;No
1;Yes;Moderately;Sometimes
2;No;Rarely;Sometimes
4;Yes;Occasionally;Yes
2;Yes;Moderately;No
4;No;Moderately;No
3;No;Moderately;Sometimes
2;Yes;Occasionally;Sometimes
3;No;Occasionally;Sometimes
1;No;Occasionally;Sometimes
2;Yes;Occasionally;No
5;No;Never;Yes
2;No;Occasionally;No
2;Yes;Heavily;Sometimes
3;Yes;Occasionally;Sometimes
3;No;Moderately;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Occasionally;Yes
3;Yes;Occasionally;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Heavily;Sometimes
4;Yes;Occasionally;Sometimes
4;Yes;Moderately;Sometimes
2;Yes;Moderately;Yes
3;Yes;Moderately;Yes
4;Yes;Occasionally;Yes
3;Yes;Moderately;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Occasionally;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Occasionally;Sometimes
2;Yes;Moderately;Sometimes
4;Yes;Occasionally;Sometimes
3;Yes;Occasionally;Sometimes
3;No;Occasionally;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Moderately;Sometimes
2;Yes;Moderately;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Moderately;Sometimes
3;Yes;Occasionally;Yes
4;Yes;Heavily;Sometimes
4;Yes;Moderately;Sometimes
3;Yes;Heavily;Sometimes
3;Yes;Occasionally;Sometimes
1;No;Heavily;Yes
3;Yes;Moderately;Sometimes
